Time,H31_WWZ_PVA_a,H31_WWZ_PVA_b,H38_WWZ_PVA_a,H38_WWZ_PVA_b,H21_WWZ_PVA_a,H22_WWZ_PVA,H24_WWZ_PVA_a,H23_WWZ_PVA_b,H23_WWZ_PVA_a,H21_WWZ_PVA_b,H24_WWZ_PVA_b
01.04.13 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01.04.13 00:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 00:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 00:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 01:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 01:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 01:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 01:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 02:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 02:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 02:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 02:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 03:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 03:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 03:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 03:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 04:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 04:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 04:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 04:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 05:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 05:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 05:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 05:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 06:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 06:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 06:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 06:45,0,0,0,0,0,0,0,0,0,0,0
01.04.13 07:00,0,0,0,0,0,0,0,0,0,0,0
01.04.13 07:15,0,0,0,0,0,0,0,0,0,0,0
01.04.13 07:30,0,0,0,0,0,0,0,0,0,0,0
01.04.13 07:45,0.037,0.02,0.01,0.012,0.03,0.025,0.008,0.005,0,0.029,0.008
01.04.13 08:00,0.11,0.081,0.057,0.044,0.092,0.087,0.058,0.04,0.011,0.093,0.058
01.04.13 08:15,0.194,0.148,0.114,0.082,0.165,0.157,0.113,0.082,0.025,0.165,0.109
01.04.13 08:30,0.273,0.211,0.164,0.114,0.227,0.218,0.161,0.12,0.04,0.227,0.158
01.04.13 08:45,0.399,0.312,0.244,0.169,0.326,0.32,0.241,0.181,0.062,0.327,0.236
01.04.13 09:00,0.668,0.522,0.407,0.288,0.46,0.47,0.396,0.287,0.102,0.447,0.382
01.04.13 09:15,1.175,0.931,0.707,0.511,0.956,0.941,0.697,0.545,0.197,0.884,0.674
01.04.13 09:30,1.237,0.972,0.74,0.53,1.012,0.989,0.728,0.571,0.204,0.931,0.705
01.04.13 09:45,1.108,0.884,0.681,0.472,0.985,0.919,0.651,0.511,0.177,0.953,0.628
01.04.13 10:00,1.683,1.39,1.101,0.761,1.519,1.45,0.997,0.781,0.275,1.429,0.948
01.04.13 10:15,2.125,1.723,1.355,0.939,1.911,1.852,1.255,0.977,0.345,1.791,1.204
01.04.13 10:30,2.808,2.251,1.757,1.22,2.423,2.432,1.617,1.29,0.452,2.306,1.578
01.04.13 10:45,3.119,2.542,1.992,1.407,2.548,2.69,1.718,1.37,0.471,2.477,1.645
01.04.13 11:00,3.655,3.18,2.566,1.871,3.147,3.421,2.115,1.71,0.566,3.045,1.939
01.04.13 11:15,3.833,3.697,3.126,2.269,3.745,4.143,2.562,2.056,0.688,3.696,2.276
01.04.13 11:30,4.358,4.441,3.819,2.655,4.393,4.921,3.499,2.727,0.921,4.223,3.099
01.04.13 11:45,4.784,4.989,4.467,2.993,5.063,5.56,4.539,3.672,1.297,4.97,4.173
01.04.13 12:00,5.054,5.232,4.709,3.141,5.327,5.803,5.192,4.196,1.513,5.219,4.888
01.04.13 12:15,5.475,5.732,5.184,3.452,6.141,6.47,5.752,4.587,1.655,5.952,5.392
01.04.13 12:30,5.378,5.512,4.806,3.242,5.474,6.038,5.535,4.46,1.579,5.333,5.288
01.04.13 12:45,5.626,5.894,5.21,3.503,5.91,6.547,5.882,4.737,1.693,5.712,5.528
01.04.13 13:00,5.863,6.084,5.422,3.655,6.289,6.874,6.102,4.909,1.754,6.116,5.744
01.04.13 13:15,4.547,4.591,3.808,2.58,4.269,5.017,4.571,3.73,1.301,4.477,4.53
01.04.13 13:30,5.689,5.945,5.103,3.464,5.632,6.231,5.815,4.639,1.649,5.728,5.47
01.04.13 13:45,3.077,3.27,2.922,1.97,3.397,3.668,3.306,2.664,0.937,3.385,3.18
01.04.13 14:00,4.308,4.459,3.696,2.539,3.798,4.404,4.415,3.393,1.206,3.825,4.251
01.04.13 14:15,2.994,3.322,3.205,2.115,3.413,3.52,3.242,2.504,0.92,3.329,2.978
01.04.13 14:30,2.899,2.899,2.378,1.631,2.758,3.176,2.87,2.411,0.847,2.799,2.836
01.04.13 14:45,3.941,4.206,3.623,2.473,3.167,3.985,4.076,3.162,1.113,3.251,3.911
01.04.13 15:00,2.535,2.709,2.394,1.62,2.502,2.759,2.672,2.156,0.766,2.516,2.554
01.04.13 15:15,4.155,4.423,3.806,2.593,4.11,4.771,4.448,3.628,1.285,4.253,4.234
01.04.13 15:30,3.706,4.05,3.764,2.518,4.037,4.285,3.934,3.189,1.133,4.011,3.696
01.04.13 15:45,3.512,3.773,3.347,2.247,3.756,4.089,3.784,3.067,1.087,3.844,3.582
01.04.13 16:00,4.213,4.555,4,2.683,4.675,4.935,4.563,3.71,1.332,4.532,4.272
01.04.13 16:15,3.951,4.31,3.862,2.577,4.481,4.715,4.313,3.518,1.259,4.521,4.065
01.04.13 16:30,3.547,3.887,3.402,2.276,3.909,4.178,3.928,3.164,1.138,3.967,3.704
01.04.13 16:45,3.419,3.729,3.361,2.23,3.938,4.207,3.813,3.125,1.132,3.997,3.63
01.04.13 17:00,3.047,3.376,3.01,2.029,3.474,3.691,3.412,2.78,1,3.524,3.249
01.04.13 17:15,2.737,3.047,2.664,1.819,3.156,3.32,3.067,2.512,0.812,3.159,2.938
01.04.13 17:30,2.402,2.683,2.269,1.583,2.69,2.867,2.694,2.211,0.707,2.697,2.593
01.04.13 17:45,2.023,2.269,1.931,1.326,2.271,2.436,2.267,1.844,0.605,2.288,2.197
