sensor,house,type,fl,zimmer
CH1021501234571336990000000000000,15b,allg,,
CH1021501234571337000000000000000,15b,wp,,
CH1021501234571337030000000000000,15b,whg,116.9,4.5
CH1021501234571337040000000000000,15b,whg,116.2,4.5
CH1021501234571337070000000000000,15b,whg,116.9,4.5
CH1021501234571337090000000000000,15b,whg,116.7,4.5
CH1021501234571337100000000000000,15b,whg,100.6,3.5
CH1021501234571337120000000000000,15a,whg,110.4,3.5
CH1021501234571337140000000000000,15a,whg,59.3,2.5
CH1021501234571337150000000000000,15a,whg,59.3,2.5
CH1021501234571337170000000000000,15a,whg,59.3,2.5
CH1021501234571337210000000000000,15a,whg,59.3,2.5
CH1021501234571337230000000000000,15a,whg,120,4.5
CH1021501234571337240000000000000,15a,whg,116.2,4.5
CH1021501234571337290000000000000,17b,whg,125.5,4.5
CH1021501234571337310000000000000,17b,whg,158.3,6.5
CH1021501234571337330000000000000,17b,whg,74.8,2.5
CH1021501234571337350000000000000,17b,whg,126.1,4.5
CH1021501234571337360000000000000,17b,whg,118.2,4.5
CH1021501234571337370000000000000,17b,whg,118.9,3.5
CH1021501234571337470000000000000,15c,whg,77.8,3.5
CH1021501234571337510000000000000,15c,whg,89.6,3.5
CH1021501234571337520000000000000,15c,whg,115.5,4.5
CH1021501234571337540000000000000,15c,whg,115.5,4.5
CH1021501234571337560000000000000,15c,whg,115.5,4.5
CH1021501234571338250000000000000,17a,wp,,
CH1021501234571338270000000000000,17a,allg,,
CH1021501234571338280000000000000,17a,whg,126,4.5
CH1021501234571338340000000000000,17a,whg,116.6,4.5
CH1021501234571338350000000000000,17a,whg,126.6,4.5
CH1021501234571338360000000000000,17a,whg,116.6,4.5
CH1021501234571338370000000000000,17a,whg,120.5,3.5
CH1021501234571344790000000000000,13b,allg,,
CH1021501234571344800000000000000,13b,wp,,
CH1021501234571344890000000000000,13b,whg,83.9,3.5
CH1021501234571344900000000000000,13b,whg,120.9,4.5
CH1021501234571344910000000000000,13b,whg,145.6,4.5
CH1021501234571349850000000000000,9b,whg,167,6.5
CH1021501234571349860000000000000,9b,whg,91,3.5
CH1021501234571349870000000000000,9b,whg,114.4,4.5
CH1021501234571349880000000000000,9b,whg,149.6,5.5
CH1021501234571349890000000000000,9b,whg,114.4,4.5
CH1021501234571349900000000000000,9b,whg,66.1,2.5
CH1021501234571349930000000000000,9a,allg,,
CH1021501234571349960000000000000,9a,whg,130.6,4.5
CH1021501234571349970000000000000,9a,whg,90,3.5
CH1021501234571350000000000000000,9a,whg,111.3,4.5
CH1021501234571350010000000000000,9a,whg,66,2.5
CH1021501234571350020000000000000,9a,whg,111.3,4.5
CH1021501234571350070000000000000,13a,whg,127.6,4.5
CH1021501234571350090000000000000,13a,whg,91.5,3.5
CH1021501234571350100000000000000,13a,whg,111.6,4.5
CH1021501234571350110000000000000,13a,whg,97.5,3.5
CH1021501234571350120000000000000,13a,whg,91.5,3.5
CH1021501234571350150000000000000,13a,whg,91.5,3.5
CH1021501234571350160000000000000,13a,whg,71.9,2.5
CH1021501234571350170000000000000,13a,whg,97.5,3.5
CH1021501234571350190000000000000,13a,whg,137,4.5
CH1021501234571351090000000000000,5,allg,,
CH1021501234571351100000000000000,5,wg,,
CH1021501234571351110000000000000,5,whg,95.3,3.5
CH1021501234571351120000000000000,5,whg,86.8,2.5
CH1021501234571351130000000000000,5,whg,52.7,2.5
CH1021501234571351160000000000000,5,whg,55.5,2.5
CH1021501234571351170000000000000,5,whg,95.3,3.5
CH1021501234571351200000000000000,5,whg,55.5,2.5
CH1021501234571351250000000000000,5,whg,95.3,3.5
CH1021501234571351270000000000000,5,whg,52.9,2.5
CH1021501234571357360000000000000,15b,pv,,
CH1021501234571357370000000000000,15a,pv,,
CH1021501234571357380000000000000,17b,pv,,
CH1021501234571357390000000000000,17a,pv,,
CH1021501234571357960000000000000,3a,wp,,
CH1021501234571357980000000000000,3b,whg,106.5,4.5
CH1021501234571357990000000000000,3b,whg,117,4.5
CH1021501234571358020000000000000,3b,whg,116.6,4.5
CH1021501234571358040000000000000,3b,whg,116.6,4.5
CH1021501234571358050000000000000,3b,whg,117,4.5
CH1021501234571358100000000000000,3a,whg,94,3.5
CH1021501234571358140000000000000,3a,whg,94,3.5
CH1021501234571358160000000000000,3c,whg,90,3.5
CH1021501234571358200000000000000,3c,whg,94.4,3.5
CH1021501234571358210000000000000,3c,whg,96.4,3.5
CH1021501234571358240000000000000,3c,whg,94.4,3.5
CH1021501234571358260000000000000,3a,pv,,
CH1021501234571358420000000000000,5,pv,,
CH1021501234571358440000000000000,13b,pv,,
CH1021501234571358450000000000000,13a,pv,,
CH1021501234571358460000000000000,9b,pv,,
CH1021501234571358580000000000000,9a,pv,,
CH1021501234571358590000000000000,3b,pv,,
CH1021501234571357950000000000000,3,allg,,
